Path,var,var_alias,Description,is_categogy,Values
Personas. Demografía.,POBTOT,POBTOT,Total de personas que residen habitualmente en el municipio,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,POBFEM,POBFEM,Total de mujeres que residen habitualmente en el municipio.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,POBMAS,POBMAS,Total de hombres que residen habitualmente en el municipio.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_0A2,P_0A2,Personas de 0 a 2 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_0A2_F,P_0A2_F,Mujeres de 0 a 2 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_0A2_M,P_0A2_M,Hombres de 0 a 2 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_3YMAS,P_3YMAS,Personas de 3 a 130 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_3YMAS_F,P_3YMAS_F,Mujeres de 3 a 130 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_3YMAS_M,P_3YMAS_M,Hombres de 3 a 130 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_5YMAS,P_5YMAS,Personas de 5 a 130 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_5YMAS_F,P_5YMAS_F,Mujeres de 5 a 130 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_5YMAS_M,P_5YMAS_M,Hombres de 5 a 130 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_12YMAS,P_12YMAS,Personas de 12 a 130 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_12YMAS_F,P_12YMAS_F,Mujeres de 12 a 130 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_12YMAS_M,P_12YMAS_M,Hombres de 12 a 130 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_15YMAS,P_15YMAS,Personas de 15 a 130 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_15YMAS_F,P_15YMAS_F,Mujeres de 15 a 130 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_15YMAS_M,P_15YMAS_M,Hombres de 15 a 130 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_18YMAS,P_18YMAS,Personas de 18 a 130 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_18YMAS_F,P_18YMAS_F,Mujeres de 18 a 130 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_18YMAS_M,P_18YMAS_M,Hombres de 18 a 130 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_3A5,P_3A5,Personas de 3 a 5 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_3A5_F,P_3A5_F,Mujeres de 3 a 5 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_3A5_M,P_3A5_M,Hombres de 3 a 5 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_6A11,P_6A11,Personas de 6 a 11 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_6A11_F,P_6A11_F,Mujeres de 6 a 11 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_6A11_M,P_6A11_M,Hombres de 6 a 11 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_8A14,P_8A14,Personas de 8 a 14 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_8A14_F,P_8A14_F,Mujeres de 8 a 14 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_8A14_M,P_8A14_M,Hombres de 8 a 14 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_12A14,P_12A14,Personas de 12 a 14 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_12A14_F,P_12A14_F,Mujeres de 12 a 14 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_12A14_M,P_12A14_M,Hombres de 12 a 14 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_15A17,P_15A17,Personas de 15 a 17 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_15A17_F,P_15A17_F,Mujeres de 15 a 17 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_15A17_M,P_15A17_M,Hombres de 15 a 17 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_18A24,P_18A24,Personas de 18 a 24 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_18A24_F,P_18A24_F,Mujeres de 18 a 24 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_18A24_M,P_18A24_M,Hombres de 18 a 24 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_15A49_F,P_15A49_F,Mujeres de 15 a 49 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_60YMAS,P_60YMAS,Personas de 60 a 130 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_60YMAS_F,P_60YMAS_F,Mujeres de 60 a 130 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,P_60YMAS_M,P_60YMAS_M,Hombres de 60 a 130 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,REL_H_M,REL_H_M,Número de hombres por cada 100 mujeres.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,POB0_14,POB0_14,Personas de 0 a 14 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
Personas. Demografía.,POB15_64,POB15_64,Personas de 15 a 64 años de edad.,False,"{'is_category': 'false', 'min': 0, 'max': 999999999}"
